T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
2.5,-17.0,1313.5871999999972,22.922366369988918,-16.99999999999997,48.35152135839112,2.3452066935439375,12.385875588573134,25.0,-14.292355319730852,10.296310859464231,55.679999999999914,False
2.5,-16.0,1125.5807999999934,21.21867856394449,-15.999999999999986,48.2801722488043,2.3333391162541184,13.121505495159338,25.0,-13.372715807360528,9.37734350878123,51.839999999999925,False
2.5,-15.0,952.3199999999929,19.517376872930367,-14.999999999999943,48.199243985647655,2.3195051555864366,13.854595336076851,25.0,-12.453777343875004,8.459264312324962,47.999999999999915,False
2.5,-14.0,793.8047999999947,17.81914476062187,-13.999999999999972,48.10644921325114,2.303173439120759,14.584408235516033,25.0,-11.535735261335576,7.542345083531344,44.15999999999993,False
2.5,-13.0,650.0352000000055,16.12495209295216,-12.999999999999957,47.9986737931367,2.2836029476161808,15.309892800031609,25.0,-10.618864788989347,6.626981013321784,40.31999999999993,False
2.5,-12.0,521.0111999999975,14.436221112188571,-11.999999999999972,47.87155753568701,2.2597288587979687,16.029496062553932,25.0,-9.70356648397104,5.713769524477121,36.47999999999993,False
2.5,-11.0,406.73279999999977,12.755121324393583,-11.0,47.71878942038816,2.2299652345864254,16.740825782114893,25.0,-8.790446563527613,4.803658348439751,32.63999999999996,False
2.5,-10.0,307.19999999999857,11.085125168440788,-9.999999999999993,47.53086419753086,2.191844879253964,17.440000000000005,25.0,-7.880467905939391,3.8982456837171666,28.799999999999965,False
2.5,-9.0,222.41279999999733,9.432132314593499,-8.999999999999986,47.29276514294129,2.141317097325819,18.120289385595512,25.0,-6.975256345462219,3.0004516087527247,24.959999999999965,False
2.5,-8.0,152.37119999999948,7.806950749172162,-7.999999999999993,46.97939173456948,2.0712625352467056,18.76898025646245,25.0,-6.077785650004369,2.1162324012538853,21.119999999999973,False
2.5,-7.0,97.07519999999903,6.231378659654668,-6.999999999999993,46.546214202720456,1.9680204566076238,19.359126081019575,25.0,-5.1941213940117565,1.2598676136041314,17.27999999999998,False
2.5,-6.0,56.52479999999933,4.754988958977689,-5.999999999999986,45.912965645938726,1.8022315724924527,19.8244170096022,25.0,-4.338737495595952,0.47591170684424167,13.439999999999982,False
2.5,-5.0,30.72000000000024,3.505424368033077,-4.999999999999993,44.99999999999999,1.5019307362505288,20.000000000000004,25.0,-3.5555555555555545,0.0,9.59999999999999,False
2.5,-4.0,19.66079999999998,2.8043394944264493,-4.0,44.0,0.8879435114564012,20.0,25.0,-3.029425485316315,0.0,5.759999999999998,False
2.5,-3.0,23.347199999999987,3.0559581148962094,-3.0,43.0,-0.23583872828316021,20.0,25.0,-3.234455963695085,8.881784197001252e-16,7.679999999999993,False
2.5,-2.0,41.779199999999996,4.0879921722038555,-2.0,42.0,-1.7010726226588533,20.0,25.037900874635568,-3.9326610905758597,0.15941846019037337,11.51999999999999,False
2.5,-1.0,74.9568000000003,5.475647906869115,-1.000000000000007,41.0,-3.2970538741359032,20.0,25.38542449286251,-4.7613273293641,0.8531546939187392,15.359999999999983,False
