t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.52,10.399999999960285,2.3886097274973356e-05,-9.109365113473572e-08,-2.108979691841209e-05,-6.585024796656859e-07,6.58502479665686e-07,4.528610502857475e-06,8.398718526049264e-06,-0.0004217959383682418
0.53,10.59999999996028,2.384804287347201e-05,-2.8321061613931846e-07,-1.7346075577983216e-05,2.8887455090085523e-07,2.888745509008552e-07,4.938920055188792e-06,1.016671466127844e-05,-0.00034692151155966435
0.54,10.799999999960267,2.3775518521112564e-05,-4.347497196834352e-07,-1.2976311506383604e-05,1.3039868387927416e-06,1.3039868387927418e-06,5.319380113475611e-06,1.1942747065743963e-05,-0.00025952623012767207
0.55,10.999999999960243,2.3677262746313212e-05,-5.394967575295165e-07,-7.989718604393853e-06,2.3791686923453514e-06,2.3791686923453514e-06,5.424127151321692e-06,1.3227422994988736e-05,-0.00015979437208787705
0.56,11.19999999996021,2.3563181512787e-05,-5.923209093814459e-07,-2.5931011026944948e-06,3.5182113675197715e-06,3.518211367519772e-06,5.717128117715292e-06,1.4952467602950357e-05,-5.1862022053889896e-05
0.5700000000000001,11.399999999960176,2.344412512474733e-05,-5.882877645861513e-07,3.3798196488950643e-06,4.700027111568323e-06,4.700027111568323e-06,5.965081068680314e-06,1.663018924892895e-05,6.759639297790129e-05
0.58,11.599999999960144,2.3332031243782355e-05,-5.217855567945686e-07,9.898890932883413e-06,5.913917254300721e-06,5.91391725430072e-06,6.162954870631639e-06,1.8239826995564e-05,0.00019797781865766825
0.59,11.799999999960121,2.323992717776122e-05,-3.875422980083837e-07,1.692633521353665e-05,7.148123938325379e-06,7.148123938325379e-06,6.306086717164846e-06,1.9760297372655072e-05,0.000338526704270733
0.6,11.999999999960114,2.318185430813427e-05,-1.8070191012517942e-07,2.441677338683228e-05,8.389905691775658e-06,8.389905691775656e-06,6.0992463292816425e-06,2.058839835033894e-05,0.0004883354677366455
0.61,12.199999999960113,2.317270012908041e-05,1.0194400014670375e-07,3.20868409064241e-05,9.640971420200083e-06,9.640971420200083e-06,6.107613746879007e-06,2.1856198913958095e-05,0.000641736818128482
0.62,12.399999999960105,2.3227862516360745e-05,4.630474483137616e-07,4.010711357567323e-05,1.0873518897773742e-05,1.0873518897773742e-05,6.0518324019663125e-06,2.2977183701706367e-05,0.0008021422715134645
0.63,12.599999999960058,2.3363361382116868e-05,9.057840138645689e-07,4.841251392525417e-05,1.2073029441328842e-05,1.2073029441328842e-05,5.929430229412609e-06,2.393188990015406e-05,0.0009682502785050834
0.64,12.79999999995992,2.3595784526532697e-05,1.432646298753122e-06,5.69315453155387e-05,1.3224453385011648e-05,1.3224453385011647e-05,5.738652734394572e-06,2.4701758853800794e-05,0.001138630906310774
0.65,12.999999999959618,2.394214478568936e-05,2.0453821696754897e-06,6.558677711521429e-05,1.4312352932478962e-05,1.4312352932478962e-05,5.125916863472205e-06,2.4564186659423372e-05,0.0013117355423042858
0.66,13.199999999959044,2.441963178654783e-05,2.743537257454097e-06,7.401614160342643e-05,1.5339647652964424e-05,1.5339647652964424e-05,4.780371349547177e-06,2.4900390352058778e-05,0.0014803228320685287
0.67,13.39999999995806,2.5045167857688444e-05,3.5258165922273964e-06,8.241173907470335e-05,1.627438532676623e-05,1.627438532676623e-05,4.368038838815549e-06,2.5010463004397327e-05,0.001648234781494067
0.68,13.599999999956493,2.5835514305429268e-05,4.391436596053483e-06,9.068468426881013e-05,1.7101623612698506e-05,1.7101623612698506e-05,3.890555310368434e-06,2.4882734233435373e-05,0.0018136936853762025
0.6900000000000001,13.799999999954126,2.6807185876574236e-05,5.338710482014643e-06,9.874323019026197e-05,1.7806711444553713e-05,1.7806711444553713e-05,3.3505018604163047e-06,2.4507715165386324e-05,0.001974864603805239
0.7000000000000001,13.9999999999507,2.7976267563279066e-05,6.365024255217175e-06,0.00010649368871001144,1.8375472226327567e-05,1.8375472226327563e-05,2.3241880872137727e-06,2.3023848400755112e-05,0.0021298737742002287
0.71,14.199999999945915,2.935811419210749e-05,7.465124661339181e-06,0.00011350302725806938,1.8816916599969008e-05,1.8816916599969005e-05,1.6513303515222418e-06,2.2119577303013492e-05,0.0022700605451613873
0.72,14.399999999939434,3.096682377879068e-05,8.632825623082625e-06,0.00012001545625578789,1.9098735411165395e-05,1.9098735411165395e-05,9.318786926375673e-07,2.096249279644053e-05,0.002400309125115758
0.73,14.599999999930878,3.281538928115439e-05,9.862705133456024e-06,0.0001259406943536173,1.9210139644947428e-05,1.9210139644947428e-05,1.7228791373232914e-07,1.9554715472412086e-05,0.002518813887072346
0.74,14.799999999919837,3.491562985447393e-05,1.1148451553270314e-05,0.00013119108770295355,1.9141568266857468e-05,1.9141568266857468e-05,-6.200467867630141e-07,1.790147469333144e-05,0.002623821754059071
0.75,14.99999999990587,3.7278015947536726e-05,1.248289580144013e-05,0.0001356827890839465,1.8884863127041123e-05,1.8884863127041123e-05,-1.9544910349328297e-06,1.4975881057175464e-05,0.0027136557816789296
0.76,15.199999999888519,3.9911364667885066e-05,1.3855998498380287e-05,0.00013892693611293637,1.8460729667545812e-05,1.8460729667545812e-05,-2.80992219296448e-06,1.2840885281616852e-05,0.0027785387222587273
0.77,15.399999999867319,4.28222733123422e-05,1.5256978735584477e-05,0.00014126132975117475,1.784050489475774e-05,1.7840504894757742e-05,-3.6677783577442353e-06,1.0504948179269268e-05,0.002825226595023495
0.78,15.599999999841813,4.601538701204545e-05,1.6676430134182535e-05,0.00014262440622568633,1.702221406552937e-05,1.702221406552937e-05,-4.517401803932487e-06,7.987410457664395e-06,0.002852488124513727
0.79,15.799999999811554,4.94934110328248e-05,1.8104375217942886e-05,0.0001429634802412314,1.60058879447441e-05,1.6005887944744096e-05,-5.347502200807542e-06,5.310883543129015e-06,0.002859269604824628
0.8,15.999999999776126,5.325700580922996e-05,1.953035981413756e-05,0.00014223586446609368,1.4793667771551094e-05,1.4793667771551092e-05,-6.773486797002216e-06,1.2466941775466622e-06,0.0028447172893218734
0.81,16.19999999973515,5.730453553310687e-05,2.0941066071020987e-05,0.00013991312962334548,1.3422960413374388e-05,1.3422960413374388e-05,-7.5569542398824e-06,-1.6909480663904126e-06,0.0027982625924669094
0.8200000000000001,16.39999999968833,6.163150945372655e-05,2.2322939400446324e-05,0.00013647300373793863,1.1871520564301511e-05,1.187152056430151e-05,-8.280749529703452e-06,-4.689978495105393e-06,0.0027294600747587725
0.8300000000000001,16.599999999635425,6.623104286240949e-05,2.3664794927935555e-05,0.00013191330128491802,1.0149468468849264e-05,1.0149468468849264e-05,-8.932171659104024e-06,-7.714874849358783e-06,0.0026382660256983603
0.84,16.79999999957629,7.109401661717341e-05,2.4955496714120367e-05,0.0001262459477728049,8.269238337362075e-06,8.269238337362075e-06,-9.498494038218565e-06,-1.0727749739075054e-05,0.002524918955456098
0.85,16.999999999510866,7.620910126096007e-05,2.6184102162218215e-05,0.00011949763698097919,6.2455542282325024e-06,6.2455542282325024e-06,-1.0727099486316413e-05,-1.5208644744400322e-05,0.0023899527396195838
0.86,17.199999999439203,8.15626089818837e-05,2.7336992513627248e-05,0.000111108398380401,4.13544589346424e-06,4.13544589346424e-06,-1.111999557761405e-05,-1.8104545261763863e-05,0.00222216796760802
0.87,17.399999999361484,8.713797699355319e-05,2.840107045594109e-05,0.00010173842439106776,1.9230812646674633e-06,1.9230812646674633e-06,-1.1386713540882632e-05,-2.0850345817097802e-05,0.002034768487821355
0.88,17.599999999277998,9.29164884975681e-05,2.9366924266854485e-05,9.146657844240184e-05,-3.689025953662107e-07,3.6890259536621074e-07,-1.151600472876495e-05,-2.340091205289611e-05,0.0018293315688480368
0.89,17.799999999189154,9.887762867919591e-05,3.022601269425874e-05,8.038803676643488e-05,-2.7159742471087e-06,2.7159742471087004e-06,-1.1497400681097796e-05,-2.5710775609304294e-05,0.0016077607353286976
0.9,17.999999999095465,0.00010499927505031671,3.097082712738198e-05,6.861409765646668e-05,-5.091898216497351e-06,5.091898216497351e-06,-1.2242215114221035e-05,-2.957632844493942e-05,0.0013722819531293336
0.91,18.199999998997544,0.00011125767563933996,3.1591391930599936e-05,5.554243667205499e-05,-7.420407552832375e-06,7.420407552832375e-06,-1.1941935658600198e-05,-3.130427887003277e-05,0.0011108487334410997
0.92,18.399999998896124,0.00011762697499522864,3.2079105642495886e-05,4.204529770024998e-05,-9.714898054024358e-06,9.714898054024358e-06,-1.1463532022765454e-05,-3.2641962099555265e-05,0.0008409059540049995
0.93,18.59999999879201,0.0001240802320195283,3.243053110560725e-05,2.828566193420514e-05,-1.1943678756743872e-05,1.1943678756743872e-05,-1.0801341489414834e-05,-3.3546361735573536e-05,0.0005657132386841028
0.9400000000000001,18.79999999868607,0.0001305899857892201,3.2643930246506174e-05,1.444031895817786e-05,-1.4074422126217129e-05,1.4074422126217127e-05,-9.95129104755327e-06,-3.3977004221323666e-05,0.00028880637916355717
0.9500000000000001,18.999999998579185,0.00013712860875297227,3.271939573608373e-05,6.985862904932633e-07,-1.6074517251310217e-05,1.6074517251310217e-05,-1.0026756537130826e-05,-3.6128030325571864e-05,1.3971725809865266e-05
0.96,19.19999999847226,0.00014366838886600177,3.26545354416397e-05,-1.3622905250847267e-05,-1.7852622955337137e-05,1.7852622955337137e-05,-8.84616338507552e-06,-3.554494972548818e-05,-0.00027245810501694533
0.97,19.399999998366223,0.00015018104778320246,3.244904130667787e-05,-2.7429896871118907e-05,-1.9428019532815958e-05,1.9428019532815958e-05,-7.470083044509882e-06,-3.4368185621835726e-05,-0.0005485979374223782
0.98,19.599999998261957,0.00015663904858556808,3.210918671250778e-05,-4.049746193151303e-05,-2.076741509274839e-05,2.076741509274839e-05,-5.902092524854372e-06,-3.257160014245714e-05,-0.0008099492386302605
0.99,19.79999999816028,0.00016301633593260263,3.164352389234636e-05,-5.259477634817306e-05,-2.183885787895426e-05,2.1838857878954262e-05,-4.147915185429735e-06,-3.0134688249813728e-05,-0.001051895526963461
1.0,19.99999999806192,0.00016928879694373734,3.1062931128995625e-05,-6.348746612139708e-05,-2.2612197149732032e-05,2.2612197149732032e-05,-3.5673224220789968e-06,-2.9746841993890026e-05,-0.0012697493224279417
1.01,20.199999997967495,0.00017543437042160192,3.0375264058490605e-05,-7.401086877794306e-05,-2.2988276689880152e-05,2.2988276689880152e-05,-1.5277943562789875e-06,-2.6043865402438127e-05,-0.0014802173755588612
1.02,20.399999997877547,0.00018143244814957564,2.959076514818881e-05,-8.285941711831473e-05,-2.3004112301871177e-05,2.3004112301871177e-05,6.750257432774331e-07,-2.165406081531631e-05,-0.0016571883423662946
1.03,20.599999997792484,0.0001872654186233334,2.8727381110880323e-05,-8.979427336982428e-05,-2.263511979073054e-05,2.263511979073054e-05,3.0264578765636003e-06,-1.658220403760334e-05,-0.0017958854673964858
1.04,20.799999997712554,0.00019291949630099732,2.7805413823482753e-05,-9.458322041007048e-05,-2.1860369563041133e-05,2.186036956304113e-05,5.509627384697095e-06,-1.0841114793646943e-05,-0.0018916644082014097
1.05,20.99999999763786,0.00019838518499206936,2.684743879708915e-05,-9.700371627474207e-05,-2.0663050013165066e-05,2.0663050013165066e-05,6.467602411090698e-06,-7.72784519098367e-06,-0.0019400743254948413
