s_m,t_s,speed_mps,road_limit_mps,traffic_limit_mps,combined_limit_mps,admissible_speed_mps,accel_mps2,x_m,y_m
272.0,10.879999999999944,25.0,inf,25.0,25.0,25.0,0.0,272.0,0.0
273.0,10.919999999999943,25.0,inf,25.0,25.0,25.0,0.0,273.0,0.0
274.0,10.959999999999942,25.0,inf,25.0,25.0,25.0,0.0,274.0,0.0
275.0,10.999999999999941,25.0,inf,25.0,25.0,25.0,0.0,275.0,0.0
276.0,11.03999999999994,25.0,inf,25.0,25.0,25.0,0.0,276.0,0.0
277.0,11.07999999999994,25.0,inf,25.0,25.0,25.0,0.0,277.0,0.0
278.0,11.119999999999939,25.0,inf,25.0,25.0,25.0,0.0,278.0,0.0
279.0,11.159999999999938,25.0,inf,25.0,25.0,25.0,0.0,279.0,0.0
280.0,11.199999999999937,25.0,inf,25.0,25.0,25.0,0.0,280.0,0.0
281.0,11.239999999999936,25.0,inf,25.0,25.0,25.0,0.0,281.0,0.0
282.0,11.279999999999935,25.0,inf,25.0,25.0,25.0,0.0,282.0,0.0
283.0,11.319999999999935,25.0,inf,25.0,25.0,25.0,0.0,283.0,0.0
284.0,11.359999999999934,25.0,inf,25.0,25.0,25.0,0.0,284.0,0.0
285.0,11.399999999999933,25.0,inf,25.0,25.0,25.0,0.0,285.0,0.0
286.0,11.439999999999932,25.0,inf,25.0,25.0,25.0,0.0,286.0,0.0
287.0,11.479999999999931,25.0,inf,25.0,25.0,25.0,0.0,287.0,0.0
288.0,11.51999999999993,25.0,inf,25.0,25.0,25.0,0.0,288.0,0.0
289.0,11.55999999999993,25.0,inf,25.0,25.0,25.0,0.0,289.0,0.0
290.0,11.599999999999929,25.0,inf,25.0,25.0,25.0,0.0,290.0,0.0
291.0,11.639999999999928,25.0,inf,25.0,25.0,25.0,-0.049382716049592545,291.0,0.0
292.0,11.680001580371712,24.998024613314964,inf,25.0,25.0,24.998024613314964,-2.0,292.0,0.0
293.0,11.720068962117809,24.917889849822775,inf,25.0,25.0,24.917889849822775,-2.0,293.0,0.0
294.0,11.760265615082655,24.83749654389308,inf,25.0,25.0,24.83749654389308,-2.0,294.0,0.0
295.0,11.800592798619933,24.75684217681853,inf,25.0,25.0,24.75684217681853,-1.9999999999999432,295.0,0.0
296.0,11.841051792664699,24.675924188729,inf,25.0,25.0,24.675924188729,-2.000000000000057,296.0,0.0
297.0,11.881643898207392,24.59473997764361,inf,25.0,25.0,24.59473997764361,-2.0,297.0,0.0
298.0,11.922370437781959,24.513286898494474,inf,25.0,25.0,24.513286898494474,-1.9999999999999432,298.0,0.0
299.0,11.963232755968637,24.431562262121123,inf,25.0,25.0,24.431562262121123,-2.0,299.0,0.0
300.0,12.00423221991191,24.349563334234578,inf,25.0,25.0,24.349563334234578,-2.0,300.0,0.0
301.0,12.04537021985423,24.267287334349938,inf,25.0,25.0,24.267287334349938,-2.000000000000057,301.0,0.0
302.0,12.086648169686077,24.184731434686242,inf,25.0,25.0,24.184731434686242,-1.9999999999999432,302.0,0.0
303.0,12.128067507512974,24.101892759032452,inf,25.0,25.0,24.101892759032452,-1.9999999999999432,303.0,0.0
304.0,12.169629696240097,24.01876838157821,inf,25.0,25.0,24.01876838157821,-1.9999999999999432,304.0,0.0
305.0,12.211336224175172,23.93535532570806,inf,25.0,25.0,23.93535532570806,-2.0,305.0,0.0
306.0,12.253188605650337,23.85165056275773,inf,25.0,25.0,23.85165056275773,-2.0,306.0,0.0
307.0,12.295188381663714,23.767651010730976,inf,25.0,25.0,23.767651010730976,-2.0,307.0,0.0
308.0,12.337337120541472,23.68335353297546,inf,25.0,25.0,23.68335353297546,-1.9999999999999432,308.0,0.0
309.0,12.379636418621162,23.59875493681608,inf,25.0,25.0,23.59875493681608,-2.0,309.0,0.0
310.0,12.422087900957191,23.51385197214402,inf,25.0,25.0,23.51385197214402,-2.0,310.0,0.0
311.0,12.464693222049293,23.428641329959817,inf,25.0,25.0,23.428641329959817,-2.0,311.0,0.0
