t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.85,16.999999999169443,0.00011372445450290177,2.676013142148369e-05,0.00010872014617801953,-3.1269799014505006e-05,3.1269799014505006e-05,-1.1303128745581887e-05,1.591602314418924e-05,0.0021744029235603907
0.86,17.199999999094846,0.00011918659128146473,2.7868153880057715e-05,0.00011287051051854719,-3.348853640675383e-05,3.348853640675383e-05,-1.165115694404452e-05,1.653075804145873e-05,0.002257410210370944
0.87,17.399999999013954,0.0001248745369400748,2.9018489012989545e-05,0.00011718214346926703,-3.5813478682305014e-05,3.581347868230502e-05,-1.2004132097931086e-05,1.7167830780745965e-05,0.0023436428693853406
0.88,17.599999998926254,0.00013079691717594134,3.021277786583026e-05,0.00012166069807588399,-3.8249331273982976e-05,3.8249331273982976e-05,-1.2361858327740723e-05,1.782793770318278e-05,0.0024332139615176798
0.89,17.7999999988312,0.00013696269160331094,3.1452718836477406e-05,0.00012631199121586282,-4.0801037171248296e-05,4.0801037171248296e-05,-1.2724106823316464e-05,1.8511789739369e-05,0.0025262398243172564
0.9,17.999999998728196,0.00014338116538861712,3.2740069326203484e-05,0.00013114200613215828,-4.347378855494473e-05,4.347378855494473e-05,-1.4011457313042542e-05,1.922011229414961e-05,0.0026228401226431656
0.91,18.199999998616597,0.00015006200121833738,3.4076647415541117e-05,0.00013615689487114286,-4.6224733131823976e-05,4.6224733131823976e-05,-1.4427191143541378e-05,1.9964820682763237e-05,0.002723137897422857
0.92,18.399999998495712,0.00015701523308705675,3.546435576691683e-05,0.00014136740644149674,-4.910315614573716e-05,4.9103156145737156e-05,-1.4848782147186401e-05,2.0736582429788456e-05,0.002827348128829935
0.93,18.599999998364794,0.00016425128496144195,3.690518492393327e-05,0.00014678038109937927,-5.2114731698501406e-05,5.21147316985014e-05,-1.5275995307740853e-05,2.1536239006594052e-05,0.0029356076219875854
0.9400000000000001,18.799999998223033,0.00017178098582339542,3.840119482504562e-05,0.0001524028568997922,-5.52654221602942e-05,5.526542216029419e-05,-1.5708555626092715e-05,2.2364649459961194e-05,0.0030480571379958438
0.9500000000000001,18.999999998069562,0.00017961558374784408,3.995451679681906e-05,0.0001582420727402298,-5.856149224680718e-05,5.856149224680718e-05,-1.7261877597866153e-05,2.32226903338665e-05,0.003164841454804596
0.96,19.199999997903433,0.00018776676038219237,4.156735557716488e-05,0.00016430547131308468,-6.195099447257223e-05,6.195099447257223e-05,-1.77589835206007e-05,2.4124780418404665e-05,0.0032861094262616936
