t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.92,18.399999999555302,9.346714179923204e-05,1.816613117938907e-05,7.152680695701493e-05,1.4444935150427578e-05,1.4444935150427578e-05,2.4494424403413628e-06,1.2391661553211089e-05,0.0014305361391402985
0.93,18.599999999520964,9.717306434113463e-05,1.8898912941441948e-05,7.501790805419361e-05,1.4963488931122589e-05,1.4963488931122589e-05,2.7302766747504655e-06,1.3801018263063552e-05,0.0015003581610838722
0.9400000000000001,18.799999999483784,0.00010102919815353768,1.9669058936074646e-05,7.899802337015364e-05,1.548636551995633e-05,1.5486365519956327e-05,3.0235802628782587e-06,1.5272764969590858e-05,0.0015799604674030727
0.9500000000000001,18.999999999443492,0.00010504351013045073,2.0481534680718587e-05,8.34821778687021e-05,1.6010581382563576e-05,1.6010581382563573e-05,2.2111045182343177e-06,1.1215628404997225e-05,0.001669643557374042
0.96,19.19999999939979,0.00010922423341908038,2.1330346080936536e-05,8.627080643026505e-05,1.6591532503905124e-05,1.6591532503905124e-05,2.47802597562764e-06,1.2556045203177252e-05,0.0017254161286053011
0.97,19.399999999352403,0.00011357766694700167,2.220942980443775e-05,8.953505706453352e-05,1.7175361316599203e-05,1.7175361316599203e-05,2.7695284577302395e-06,1.401939590181719e-05,0.0017907011412906704
0.98,19.599999999301033,0.00011811035395521002,2.3123739062115823e-05,9.331419690990426e-05,1.7761279551609893e-05,1.7761279551609893e-05,3.083355125537586e-06,1.559438842320403e-05,0.001866283938198085
0.99,19.79999999924534,0.0001228298658354629,2.4078593401234487e-05,9.764224360094855e-05,1.834761223282916e-05,1.834761223282916e-05,3.4170153056821415e-06,1.7268552650739e-05,0.001952844872018971
1.0,19.99999999918494,0.00012774487002658493,2.5079624391408445e-05,0.00010254760268089624,1.893172978259472e-05,1.893172978259472e-05,2.415984315508183e-06,1.2269238875366863e-05,0.0020509520536179248
1.01,20.19999999911941,0.00013286428999358127,2.611928938704075e-05,0.00010537596823977838,1.958180375365736e-05,1.958180375365736e-05,2.728180315170867e-06,1.3836719613390909e-05,0.0021075193647955674
1.02,20.39999999904837,0.00013819466051614396,2.7190071244086733e-05,0.00010876909237104278,2.0233675347192992e-05,2.0233675347192992e-05,3.0757196473795096e-06,1.5580934990369477e-05,0.002175381847420856
1.03,20.599999998971406,0.00014374278942568314,2.829791257163453e-05,0.00011278578371209499,2.088750942241301e-05,2.088750942241301e-05,3.4559264158093917e-06,1.748850717327109e-05,0.0022557156742419
1.04,20.799999998888048,0.0001495167297191728,2.9449311645105513e-05,0.00011747838843446146,2.154239703385881e-05,2.154239703385881e-05,3.8657295630743355e-06,1.9544071785710264e-05,0.0023495677686892293
1.05,20.99999999879776,0.00015552588400927084,3.0651254476823405e-05,0.0001228921314853098,2.2196250984491036e-05,2.2196250984491032e-05,2.6637867313564442e-06,1.3540896166627132e-05,0.002457842629706196
1.06,21.199999998699965,0.0001617800082761871,3.1894870246752634e-05,0.00012582125841210218,2.2932725346366226e-05,2.2932725346366226e-05,3.058122918362287e-06,1.5519941845275095e-05,0.0025164251682420436
1.07,21.399999998594133,0.00016828602794740583,3.31714181522626e-05,0.0001294761393391923,2.3675075396495456e-05,2.3675075396495456e-05,3.5000489673390446e-06,1.773699559066018e-05,0.002589522786783846
1.08,21.599999998479696,0.00017505128196559764,3.4488556497932845e-05,0.00013393666088411585,2.442441015077281e-05,2.442441015077281e-05,3.985864162695656e-06,2.0173564914986007e-05,0.002678733217682317
1.09,21.799999998356007,0.0001820847178377129,3.585469777920608e-05,0.0001392738042875638,2.5180437661500414e-05,2.5180437661500414e-05,4.511308023002461e-06,2.2808344491627308e-05,0.002785476085751276
1.1,21.999999998222314,0.0001893970332536794,3.727891492488947e-05,0.00014554870779284794,2.594132340434392e-05,2.594132340434392e-05,3.08709087731907e-06,1.569486762063879e-05,0.0029109741558569586
1.11,22.199999998077804,0.00019699948165729462,3.8751125196012346e-05,0.00014888223429885772,2.6808990697364827e-05,2.6808990697364827e-05,3.599453324625753e-06,1.8265356530102413e-05,0.002977644685977154
1.12,22.39999999792174,0.00020490002454721926,4.0261446466783363e-05,0.00015316773436935665,2.769088304000105e-05,2.769088304000105e-05,4.1712623005916316e-06,2.113322033335817e-05,0.003063354687387133
1.1300000000000001,22.599999997753322,0.00021310726923390059,4.181989471158076e-05,0.00015850412601310513,2.8588628317390424e-05,2.8588628317390427e-05,4.797296259944042e-06,2.4272367582894113e-05,0.0031700825202621028
1.1400000000000001,22.799999997571625,0.00022163192102304453,4.343741342193661e-05,0.00016497803562555107,2.9502007915262172e-05,2.9502007915262172e-05,5.471641628650441e-06,2.7653228222404826e-05,0.0032995607125110215
1.1500000000000001,22.99999999737557,0.00023048695604747113,4.512574500034359e-05,0.00017266266375769905,3.0428783898055308e-05,3.042878389805531e-05,3.7833100502434623e-06,1.9220838090197863e-05,0.003453253275153981
1.16,23.199999997163978,0.0002396861723435695,4.6873406584173464e-05,0.00017685567582611828,3.149228318146092e-05,3.149228318146092e-05,4.440171379482632e-06,2.251577972922777e-05,0.0035371135165223654
1.17,23.399999996935787,0.0002492395232833905,4.8669127939231045e-05,0.00018227054500769422,3.2580055499359e-05,3.258005549935899e-05,5.1671678919374875e-06,2.616164001468103e-05,0.0036454109001538846
1.18,23.599999996689824,0.00025915788112847095,5.052570344320724e-05,0.00018902205000561424,3.3693628884907506e-05,3.3693628884907506e-05,5.9573132051902555e-06,3.0123502314800353e-05,0.003780441000112285
1.19,23.799999996424727,0.00026945478640094287,5.245699448905489e-05,0.00019720886883983912,3.483216777077554e-05,3.483216777077554e-05,6.802839129285127e-06,3.436251732413339e-05,0.003944177376796782
1.2,23.999999996138904,0.0002801466447709675,5.447776226437073e-05,0.0002069123402188608,3.599227611931772e-05,3.599227611931773e-05,4.782071353969285e-06,2.4270279531039605e-05,0.004138246804377216
1.21,24.199999995830602,0.0002912509568969144,5.6574550257743434e-05,0.00021242687604453126,3.73225917972106e-05,3.73225917972106e-05,5.598588878117279e-06,2.83661703085585e-05,0.004248537520890625
1.22,24.399999995498227,0.00030278064796510236,5.8734073256503095e-05,0.00021945429817043534,3.868600357793288e-05,3.8686003577932874e-05,6.4955662023378816e-06,3.2864691047468735e-05,0.004389085963408707
1.23,24.59999999514003,0.00031474982124292736,6.0972109756935235e-05,0.00022812410158855857,4.008343122500104e-05,4.008343122500104e-05,7.464260338930225e-06,3.772213600690114e-05,0.004562482031771171
